,_unit_id,civilians,militants_terrorists_insurgents,security_forces,districtmatch,eventid,report_date,state_full,svmlabel1,svmlabel1prob,verb
213,711601556,0.0,1.0,0.0,jammu,1753,05-05-2000,Jammu and Kashmir,terrorist,0.470488397,arrested
214,711601557,1.0,0.0,0.0,jalpaiguri,1763,05-05-2000,West Bengal,civilian,0.962041705,killed
215,711601558,0.0,1.0,0.0,kupwara,1784,05-06-2000,Jammu and Kashmir,terrorist,0.9792185259999999,surrendered
216,711601559,,1.0,,udhampur,1785,05-06-2000,Jammu and Kashmir,terrorist,0.9792185259999999,killed
217,711601560,0.0,1.0,0.0,udhampur,1785,05-06-2000,Jammu and Kashmir,terrorist,0.991938439,killed
218,711601561,0.0,2.0,0.0,darrang,1792,05-06-2000,Assam,terrorist,0.670650839,arrested
219,711601562,0.0,6.0,0.0,udhampur,1809,05-08-2000,,terrorist,0.983039262,killed
220,711601563,0.0,6.0,0.0,udhampur,1809,05-08-2000,,civilian,0.656919692,killed
221,711601564,0.0,2.0,0.0,baramullah,1810,05-08-2000,,security,0.996844535,killed
222,711601565,0.0,1.0,0.0,anantnag,1811,05-08-2000,,terrorist,0.9792185259999999,killed
223,711601566,0.0,2.0,0.0,kathua,1812,05-08-2000,,civilian,0.6345612420000001,killed
224,711601567,2.0,0.0,1.0,udhampur,1813,05-08-2000,,security,0.863307835,killed
225,711601568,2.0,0.0,0.0,kupwara,1815,05-08-2000,,civilian,0.96115703,killed
226,711601569,1.0,0.0,0.0,kupwara,1816,05-08-2000,,civilian,0.837906072,injured
227,711601570,0.0,1.0,0.0,pulwama,1818,05-08-2000,,civilian,0.907945463,arrested
228,711601571,0.0,2.0,0.0,pulwama,1818,05-08-2000,,terrorist,0.990210664,arrested
229,711601572,0.0,3.0,0.0,doda,1822,05-08-2000,,terrorist,0.992864518,killed
230,711601573,0.0,2.0,0.0,anantnag,1823,05-08-2000,,terrorist,0.9946592059999999,arrested
231,711601574,4.0,,,palamu,1827,05-08-2000,Bihar,civilian,0.774558953,killed
232,711601575,0.0,4.0,0.0,kapurthala,1830,05-08-2000,Punjab,terrorist,0.939533266,arrested
233,711601576,0.0,1.0,1.0,anantnag,1848,05-09-2000,Jammu and Kashmir,security,0.9948797340000001,killed
234,711601577,0.0,1.0,0.0,anantnag,1848,05-09-2000,Jammu and Kashmir,terrorist,0.99085746,killed
235,711601578,0.0,3.0,0.0,udhampur,1858,05-09-2000,Jammu and Kashmir,terrorist,0.999999257,killed
236,711601579,0.0,8.0,0.0,thoubal,1872,05-10-2000,Manipur,terrorist,0.999998023,killed
237,711601580,0.0,5.0,0.0,tinsukia,1873,05-10-2000,,terrorist,0.9792185259999999,killed
238,711601581,4.0,0.0,0.0,south tripura,1874,05-10-2000,Tripura,civilian,0.774558953,killed
239,711601582,0.0,70.0,0.0,mon,1889,05-11-2000,,terrorist,0.9989019640000001,killed
240,711601583,0.0,0.0,4.0,baramullah,1890,05-11-2000,Jammu and Kashmir,security,0.9952839440000001,killed
241,711601584,3.0,0.0,0.0,baramullah,1890,05-11-2000,Jammu and Kashmir,civilian,0.7795220359999999,injured
242,711601585,6.0,0.0,0.0,jorhat,1896,05-11-2000,Assam,terrorist,0.911255788,arrested
243,711601586,0.0,2.0,0.0,kupwara,1916,05-12-2000,Jammu and Kashmir,terrorist,0.9952182740000001,killed
244,711601587,0.0,0.0,1.0,udhampur,1919,05-12-2000,Jammu and Kashmir,security,0.998515259,killed
245,711601588,0.0,0.0,1.0,udhampur,1919,05-12-2000,Jammu and Kashmir,civilian,0.9308906659999999,injured
246,711601589,0.0,3.0,0.0,poonch,1920,05-12-2000,Jammu and Kashmir,terrorist,0.987155731,killed
247,711601590,1.0,0.0,0.0,kupwara,1926,05-12-2000,Jammu and Kashmir,civilian,0.9659409170000001,killed
248,711601591,1.0,0.0,0.0,kupwara,1926,05-12-2000,Jammu and Kashmir,civilian,0.707255539,injured
249,711601592,0.0,0.0,4.0,baramullah,1928,05-12-2000,Jammu and Kashmir,security,0.978977412,killing
250,711601593,0.0,1.0,0.0,nagaon,1929,05-12-2000,Assam,terrorist,0.970506839,killed
251,711601594,0.0,2.0,0.0,dhubri,1930,05-12-2000,Assam,civilian,0.914067491,arrested
252,711601595,,1.0,,jalpaiguri,1940,5/13/00,,civilian,0.712825565,killed
253,711601596,0.0,0.0,13.0,jalpaiguri,1940,5/13/00,,security,0.999999857,injured
254,711601597,0.0,0.0,1.0,jammu,1941,5/13/00,Jammu and Kashmir,terrorist,0.503624898,injured
255,711601598,0.0,9.0,0.0,nizamabad,1947,5/13/00,,terrorist,0.54557346,surrendered
256,711601599,0.0,7.0,0.0,nizamabad,1947,5/13/00,,terrorist,0.605410174,arrested
257,711601600,0.0,1.0,0.0,jammu,1959,5/15/00,,terrorist,0.990702518,killed
